OriginalIndex,TargetIndex,ProposedResidualScaleMode,ProposedResidualScaleGain,ProposedZoomEnabled,ProposedZoomPreserveOmniRMS,ProposedZoomDepthCoeff,ProposedZoomDistance_m,Original_RMS_dB,Original_IntegratedLoudness_LUFS,Original_WaveformErrorToTarget_dB,Original_PBC2ToTarget,Original_C50_dB,Original_DRR_dB,Original_T60_s,Original_T60Fit_R2,Original_T60FitRange,Original_EDCSimilarityRMSE_dB,Original_DirectArrival_ms,Baseline_RMS_dB,Baseline_IntegratedLoudness_LUFS,Baseline_WaveformErrorToTarget_dB,Baseline_PBC2ToTarget,Baseline_C50_dB,Baseline_DRR_dB,Baseline_T60_s,Baseline_T60Fit_R2,Baseline_T60FitRange,Baseline_EDCSimilarityRMSE_dB,Baseline_DirectArrival_ms,Proposed_RMS_dB,Proposed_IntegratedLoudness_LUFS,Proposed_WaveformErrorToTarget_dB,Proposed_PBC2ToTarget,Proposed_C50_dB,Proposed_DRR_dB,Proposed_T60_s,Proposed_T60Fit_R2,Proposed_T60FitRange,Proposed_EDCSimilarityRMSE_dB,Proposed_DirectArrival_ms,Target_RMS_dB,Target_IntegratedLoudness_LUFS,Target_WaveformErrorToTarget_dB,Target_PBC2ToTarget,Target_C50_dB,Target_DRR_dB,Target_T60_s,Target_T60Fit_R2,Target_T60FitRange,Target_EDCSimilarityRMSE_dB,Target_DirectArrival_ms
1,1,full,1,1,1,1,0,-46.2240927885674,-29.3581884478413,-Inf,-0.115347283891013,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0,8.64583333333333,-46.1651612006712,-29.260252086982,-67.032363192496,7.13541450550621,7.58440551147453,0.10873751118023,0.927069210394659,0.978386341459459,-5 to -55 dB,0.0654969245925536,8.64583333333333,-46.0799445767542,-29.1802194280598,-65.0499750462842,9.1238144432935,7.69522159247559,-0.062153977198402,0.925460971015188,0.978396876437195,-5 to -55 dB,0.160033959852867,8.64583333333333,-46.2240927885674,-29.3581884478413,-Inf,0,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0,8.64583333333333
1,2,full,1,1,1,1,0.05,-46.2240927885674,-29.3581884478413,-43.3901252083232,11.6434512820474,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,1.09614987647472,8.64583333333333,-46.3159827111469,-29.4075152391975,-45.379280218126,11.3763899604698,7.3739425873001,0.609635983511593,0.931371945840828,0.978336418226895,-5 to -55 dB,1.06536609518909,8.58333333333333,-46.262333801288,-29.371529953715,-45.36378953436,11.8606126687179,7.44469570429832,0.495062147936401,0.929418046232765,0.978362269055336,-5 to -55 dB,1.08037933161177,8.58333333333333,-46.2710811571203,-29.3956575092356,-Inf,0,7.53127222975191,0.108461412387513,0.946439491090746,0.983837818968868,-5 to -55 dB,0,8.58333333333333
1,3,full,1,1,1,1,0.1,-46.2240927885674,-29.3581884478413,-43.0000953928896,13.5466293199012,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0.633910167568044,8.64583333333333,-46.293288370057,-29.4062282721471,-44.3138647465001,13.3213311055662,7.38944577076723,0.706314515147328,0.930817559332605,0.978348369370239,-5 to -55 dB,0.650092165669886,8.52083333333333,-46.2620809956638,-29.3766625173366,-44.3173535381554,13.6035080674972,7.43066928071755,0.638673189140344,0.930018119133802,0.978351836198519,-5 to -55 dB,0.642568279016813,8.52083333333333,-46.3633898560668,-29.3120204859389,-Inf,0,7.49742296735654,-0.43000341665159,0.922649664254588,0.982665627086205,-5 to -55 dB,0,8.52083333333333
1,4,full,1,1,1,1,0.15,-46.2240927885674,-29.3581884478413,-43.3713043969602,14.3337755037213,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,1.43385304055899,8.64583333333333,-46.3000715728398,-29.3908074448454,-45.0319961189901,16.7395875754442,7.33656580218782,0.857185784914845,0.931335557164241,0.978336957234681,-5 to -55 dB,1.38813988737501,8.45833333333333,-46.2626043402534,-29.3528985202905,-45.0378899578994,16.8227485816967,7.38623459609752,0.774508426816048,0.930391721609908,0.978343757034454,-5 to -55 dB,1.40367943289612,8.45833333333333,-46.2223901551396,-29.2064648108613,-Inf,0,7.46428101336516,-0.072386820901153,0.95668906546871,0.98540329961535,-5 to -55 dB,0,8.45833333333333
1,5,full,1,1,1,1,0.2,-46.2240927885674,-29.3581884478413,-43.5393299208191,13.9708394114543,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0.91460651881521,8.64583333333333,-46.2832821302246,-29.4188992364481,-44.6026812991732,17.1031299855584,7.85978213606722,0.882926096659955,0.917365389034058,0.978373851364281,-5 to -55 dB,0.963368542293588,8.27083333333333,-46.2505511212609,-29.3795425788829,-44.601486726376,17.6406517467007,7.33715617994731,0.880712936561572,0.930193752800611,0.978349788842357,-5 to -55 dB,0.920489560456223,8.39583333333333,-46.3231588421517,-29.3447942584804,-Inf,0,7.32053682250371,-0.296551136924811,0.909333002487771,0.986386751112552,-5 to -55 dB,0,8.39583333333333
1,6,full,1,1,1,1,0.25,-46.2240927885674,-29.3581884478413,-43.4953940845792,17.7455800083551,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0.928249662346819,8.64583333333333,-46.2350278011222,-29.3472333321169,-43.9806312684699,20.9093740454597,7.91083286645183,0.876018437155718,0.916599117073937,0.978333832331802,-5 to -55 dB,0.818142724213756,8.22916666666667,-46.2494467333186,-29.3664497550326,-44.0102830568113,20.7806608854007,7.87843968446817,0.908144212113792,0.917025512919247,0.978290616999606,-5 to -55 dB,0.817442055291694,8.22916666666667,-46.3942225149221,-29.1947183719681,-Inf,0,7.09484231567776,-0.612564455319111,0.891746149342017,0.983259253143438,-5 to -55 dB,0,8.35416666666667
1,7,full,1,1,1,1,0.3,-46.2240927885674,-29.3581884478413,-43.5911969652007,20.4648246846747,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,0.929863555602698,8.64583333333333,-46.215562424189,-29.2914929681837,-44.6956251373752,22.1418127268325,7.93295973114247,1.01169208631183,0.915561715633234,0.97830171806606,-5 to -55 dB,1.09357397803989,8.16666666666667,-46.2095891862341,-29.2622403024122,-44.7135407298736,21.4532376680031,7.92435496006139,0.998190426939862,0.91605510226041,0.978259733558937,-5 to -55 dB,1.09587912040983,8.16666666666667,-46.5739251906582,-29.2746222063988,-Inf,0,6.99627220546337,-0.925976369294485,0.90916972260853,0.987614145022487,-5 to -55 dB,0,8.29166666666667
1,8,full,1,1,1,1,0.35,-46.2240927885674,-29.3581884478413,-43.6335954334765,23.231000687175,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,1.20680429530335,8.64583333333333,-46.1694521604982,-29.2807586612922,-45.7388529143447,23.6100549228977,8.0037169931824,1.02363978843558,0.915284178292997,0.978326149033162,-5 to -55 dB,1.48574933024773,8.125,-46.1627953869673,-29.2621308604242,-45.7722890108773,23.5449480134548,7.97404033882536,1.00857149801885,0.915658064011756,0.97823792965867,-5 to -55 dB,1.48853969408332,8.125,-46.7932066041362,-29.2121360739947,-Inf,0,6.54756552097578,-1.05167843357296,0.902737973603224,0.989379537325857,-5 to -55 dB,0,8.25
1,9,full,1,1,1,1,0.4,-46.2240927885674,-29.3581884478413,-43.7503724179461,25.9582429575787,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,1.28020658530558,8.64583333333333,-46.1307994097198,-29.2286463036374,-44.9756179222449,26.6248627581091,8.01963187207297,1.00836485789505,0.914945230002434,0.978299993785996,-5 to -55 dB,1.51867784568256,8.0625,-46.1268025261299,-29.2165590709033,-44.9918973903592,26.6788404945528,7.98709545089279,0.999331735440187,0.915123680040749,0.978202062656098,-5 to -55 dB,1.51936198879632,8.0625,-46.8181060391979,-29.1884041787944,-Inf,0,6.70445251476121,-1.27764004142061,0.91274393070177,0.985239880335611,-5 to -55 dB,0,8.1875
1,10,full,1,1,1,1,0.45,-46.2240927885674,-29.3581884478413,-43.6700641749753,29.1413848698039,7.50738373283123,0.367883094910309,0.92841481643138,0.978361273675621,-5 to -55 dB,1.71391092542857,8.64583333333333,-46.0965464859175,-29.1921070039686,-45.1726157600439,29.4950374804968,8.05521153318727,1.00125906978672,0.91462895270774,0.978277535270059,-5 to -55 dB,2.16027943334276,8.02083333333333,-46.0821811500514,-29.1731091141018,-45.1666664440256,29.5966468159234,8.03478064897659,0.96887093774774,0.914738838759535,0.978180005240491,-5 to -55 dB,2.17162575487127,8.02083333333333,-46.8721112500335,-29.1488370827975,-Inf,0,6.66202218213184,-1.86473761069137,0.954176804334825,0.985978426743846,-5 to -55 dB,0,8.14583333333333
